57982945|lx-alloc-jackm-BISP-accept|2026-09-06T09:59:03|Unknown|nid[001064-001065,001068,001128]|billing=512,cpu=512,gres/gpu:a100=16,gres/gpu=16,mem=919208M,node=4|RUNNING
57982945.115|lx-Xg4-112718-6609-6855|2026-09-06T11:27:18|2026-09-06T11:28:53|nid[001064-001065,001068,001128]|cpu=512,gres/gpu:a100=16,gres/gpu=16,mem=919208M,node=4|COMPLETED
57982945.116|lx-Xg0-112723-162401-1775|2026-09-06T11:27:25|2026-09-06T11:27:34|nid001064|cpu=128,mem=229802M,node=1|COMPLETED
57982945.117|lx-Xg4-112855-174741-8396|2026-09-06T11:28:55|2026-09-06T11:31:08|nid[001064-001065,001068,001128]|cpu=512,gres/gpu:a100=16,gres/gpu=16,mem=919208M,node=4|COMPLETED
57982945.118|lx-Xg4-113110-163323-3579|2026-09-06T11:31:13|2026-09-06T11:33:15|nid[001064-001065,001068,001128]|cpu=512,gres/gpu:a100=16,gres/gpu=16,mem=919208M,node=4|COMPLETED
57982945.119|lx-Xg4-113113-163792-9427|2026-09-06T11:31:16|2026-09-06T11:33:11|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.120|lx-Xg4-113113-174921-5412|2026-09-06T11:31:19|2026-09-06T11:31:30|nid[001064-001065,001068,001128]|cpu=512,gres/gpu:a100=16,gres/gpu=16,mem=919208M,node=4|FAILED
57982945.121|lx-Xg4-113110-172637-3574|2026-09-06T11:31:19|2026-09-06T11:31:30|nid[001064-001065,001068,001128]|cpu=512,gres/gpu:a100=16,gres/gpu=16,mem=919208M,node=4|FAILED
57982945.122|lx-Xg4-113321-195974-2219|2026-09-06T11:33:22|2026-09-06T11:34:38|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.123|lx-Xg4-113319-197930-7419|2026-09-06T11:33:24|2026-09-06T11:37:41|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.124|lx-Xg4-113328-177939-4408|2026-09-06T11:33:35|2026-09-06T11:34:40|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.125|lx-Xg4-113342-207635-5412|2026-09-06T11:33:46|2026-09-06T11:33:54|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|CANCELLED
57982945.126|lx-Xg4-113351-210162-5353|2026-09-06T11:34:02|2026-09-06T11:34:25|nid001128|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|FAILED
57982945.127|lx-Xg4-113441-218949-9472|2026-09-06T11:34:43|2026-09-06T11:36:32|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.128|lx-Xg4-113504-221074-6989|2026-09-06T11:35:09|2026-09-06T11:35:27|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.129|lx-Xg4-113511-221323-6412|2026-09-06T11:35:13|2026-09-06T11:36:49|nid001128|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.130|lx-Xg4-113530-221212-1447|2026-09-06T11:35:32|2026-09-06T11:39:32|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.131|lx-Xg4-113635-230722-5731|2026-09-06T11:36:37|2026-09-06T11:39:53|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.132|lx-Xg4-113659-233239-8665|2026-09-06T11:37:08|2026-09-06T11:38:40|nid001128|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.133|lx-Xg4-113750-240003-6976|2026-09-06T11:37:54|2026-09-06T11:38:36|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|FAILED
57982945.134|lx-Xg4-113755-240209-8497|2026-09-06T11:37:57|2026-09-06T11:40:12|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
