n=7   sigX=  -31.495384              sigC=    3.526499+  0.013965i  sigXC=  -27.968886+  0.013965i  sigCC=  -27.972539+  0.013965i  sigTT=    0.003653              sigCT=    0.000000              Hdir=  585.107365              Eo=  -39.426598  Z=    1.000000  Z_status=OK
n=8   sigX=  -22.935214              sigC=    4.663493+  0.038096i  sigXC=  -18.271721+  0.038096i  sigCC=  -18.272416+  0.038096i  sigTT=    0.000695              sigCT=    0.000000              Hdir=  384.342529              Eo=  -18.084528  Z=    1.000000  Z_status=OK
n=9   sigX=  -22.935214              sigC=    4.663493+  0.038096i  sigXC=  -18.271721+  0.038096i  sigCC=  -18.272416+  0.038096i  sigTT=    0.000695              sigCT=    0.000000              Hdir=  384.342529              Eo=  -18.084528  Z=    1.000000  Z_status=OK
n=10  sigX=  -22.834113              sigC=    4.674824+  0.038484i  sigXC=  -18.159289+  0.038484i  sigCC=  -18.159962+  0.038484i  sigTT=    0.000673              sigCT=    0.000000              Hdir=  368.839555              Eo=  -17.638813  Z=    1.000000  Z_status=OK
n=11  sigX=  -22.834113              sigC=    4.674824+  0.038484i  sigXC=  -18.159289+  0.038484i  sigCC=  -18.159962+  0.038484i  sigTT=    0.000673              sigCT=    0.000000              Hdir=  368.839555              Eo=  -17.638813  Z=    1.000000  Z_status=OK
n=12  sigX=  -18.321190              sigC=    3.616112+  0.030447i  sigXC=  -14.705078+  0.030447i  sigCC=  -14.706064+  0.030447i  sigTT=    0.000986              sigCT=   -0.000000              Hdir=  421.084331              Eo=  -10.524704  Z=    1.000000  Z_status=OK
n=13  sigX=  -18.321190              sigC=    3.616112+  0.030447i  sigXC=  -14.705078+  0.030447i  sigCC=  -14.706064+  0.030447i  sigTT=    0.000986              sigCT=   -0.000000              Hdir=  421.084331              Eo=  -10.524704  Z=    1.000000  Z_status=OK
n=14  sigX=  -18.000565              sigC=    3.342447+  0.027504i  sigXC=  -14.658118+  0.027504i  sigCC=  -14.658988+  0.027504i  sigTT=    0.000870              sigCT=    0.000000              Hdir=  382.998575              Eo=   -9.566615  Z=    1.000000  Z_status=OK
n=15  sigX=  -18.000565              sigC=    3.342447+  0.027504i  sigXC=  -14.658118+  0.027504i  sigCC=  -14.658988+  0.027504i  sigTT=    0.000870              sigCT=    0.000000              Hdir=  382.998575              Eo=   -9.566615  Z=    1.000000  Z_status=OK
n=16  sigX=  -17.627013              sigC=    3.504693+  0.030380i  sigXC=  -14.122319+  0.030380i  sigCC=  -14.123126+  0.030380i  sigTT=    0.000807              sigCT=    0.000000              Hdir=  376.197368              Eo=   -9.176365  Z=    1.000000  Z_status=OK
n=17  sigX=  -17.627013              sigC=    3.504693+  0.030380i  sigXC=  -14.122319+  0.030380i  sigCC=  -14.123126+  0.030380i  sigTT=    0.000807              sigCT=    0.000000              Hdir=  376.197368              Eo=   -9.176365  Z=    1.000000  Z_status=OK
n=18  sigX=  -19.050400              sigC=    3.263458+  0.024187i  sigXC=  -15.786943+  0.024187i  sigCC=  -15.788331+  0.024187i  sigTT=    0.001388              sigCT=    0.000000              Hdir=  448.428463              Eo=   -8.120334  Z=    0.807776  Z_status=OK
